English,country_lang
Albania,Shqipëria
Andorra,
Armenia,
Austria,Österreich
Azerbaijan,
Belarus,
Belgium,België / Belgique / Belgien
Bosnia and Herzegovina,Bosna i Hercegovina / Босна и Херцеговина
Bulgaria,Бългaрия
Croatia,Hrvatska
Cyprus,
Czech Republic,Česko
Denmark,Danmark
Estonia,Eesti
Finland,Suomi / Finland
France,France
Georgia,
Germany,Deutschland
Greece,
Hungary,Magyarország
Iceland,Ísland
Ireland,Éire / Ireland
Italy,Italia
Latvia,Latvija
Liechtenstein,
Lithuania,
Luxembourg,Lëtzebuerg 
Macedonia,Северна Македонија
Malta,
Moldova,
Monaco,
Montenegro,Crna Gora / Црна Гора
The Netherlands,"Nederland
"
Norway,Norge
Poland,Polska
Portugal,
Romania,România
San Marino,
Serbia,Србија
Slovakia,Slovensko
Slovenia,Slovenija
Spain,España
Sweden,Sverige
Switzerland,Schweiz/Suisse/Svizzera/Svizra
Ukraine,Україна
United Kingdom,United Kingdom
Vatican City,Città del Vaticano
Turkey,Türkiye
Greece,Ἑλλάς
Finland,Suomi
Greece,Ελλάς
Algeria,Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
Russia,Россия
Bulgaria,Беларусь
Kosovo,Kosova / Kosovo
Tunisia,تونس
Jersey,
Gibraltar,
Guernsey,
Morocco,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
Faroe Islands,Føroyar
Morocco,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
